C1,C2,C3,C4,C5,C6,C7,C8,C9,Constitution,class_number
-0.695930,2.238040,-0.179590,0.214160,0.474900,-1.184240,-0.484620,-1.468810,0.449060,-0.640080,2
-0.695930,-0.140770,0.995510,-1.260400,1.424710,1.140380,-1.096160,-2.106910,1.029550,0.709650,2
0.091630,0.183610,-0.884650,-1.874800,0.474900,0.559230,-1.096160,-0.830720,0.449060,0.709650,2
0.616670,-1.870810,-0.884650,-1.014640,-0.474900,0.559230,-0.484620,-0.192630,-1.292420,-0.640080,1
1.404240,0.291740,1.465550,-1.137520,0.949800,0.559230,1.350010,0.445460,0.449060,2.059370,2
-0.170890,-0.573280,-0.649630,0.582800,-0.474900,1.140380,1.350010,-0.192630,1.029550,-0.640080,1
0.879200,-0.357030,0.055430,0.705680,1.424710,-0.603090,-0.484620,1.083550,1.029550,-0.640080,3
0.616670,-1.113920,-1.119670,-0.277360,1.899610,0.559230,-0.484620,1.083550,0.449060,-0.640080,1
-0.695930,1.264890,-0.179590,-0.523120,0.474900,-1.765400,0.738470,-0.830720,-1.292420,0.000000,2
0.879200,-0.032640,-2.294760,1.074330,0.949800,-0.603090,-1.096160,-0.830720,-0.131430,0.709650,1
0.091630,-0.032640,1.465550,-1.260400,1.424710,1.140380,0.738470,-0.192630,1.029550,-0.640080,2
0.616670,-0.681410,-0.414610,0.091280,-0.474900,1.140380,-1.096160,1.083550,-1.872910,-0.640080,1
0.091630,1.264890,0.055430,-0.523120,-0.474900,1.140380,-1.096160,-0.192630,-1.292420,0.709650,2
-0.695930,-1.005790,0.290450,2.057370,-0.474900,1.140380,0.738470,-0.192630,-0.131430,0.000000,1
0.354150,-0.032640,0.055430,-1.260400,-1.899610,1.140380,1.350010,-0.192630,0.449060,-0.640080,2
0.616670,0.724250,0.290450,0.705680,-1.424710,0.559230,-1.707700,1.083550,1.029550,-0.640080,3
-0.695930,1.481150,-1.354690,1.197210,-0.474900,-1.765400,0.126920,1.083550,1.610050,0.709650,3
0.879200,0.399870,0.995510,0.091280,-0.474900,-0.021930,-1.096160,-1.468810,-0.711930,-1.989800,2
-1.220970,-2.087070,0.525470,-0.400240,-0.949800,0.559230,-1.096160,1.083550,-1.292420,-0.640080,3
0.879200,0.291740,0.525470,0.214160,-0.474900,-1.765400,1.350010,1.083550,-0.131430,0.709650,3
-0.958450,-0.140770,0.525470,-0.154480,-1.899610,-0.603090,1.350010,1.083550,-0.711930,-0.640080,3
-1.220970,-1.438300,0.290450,0.214160,0.000000,-1.184240,-1.096160,1.083550,0.449060,-1.989800,3
-0.170890,-2.195200,-0.414610,-0.031600,1.424710,-0.603090,1.350010,0.445460,-0.711930,-0.640080,3
0.354150,0.508000,1.465550,-0.768880,0.474900,0.559230,0.126920,0.445460,0.449060,-0.640080,2
