	0	1	2
0	202010	202089	202092
1	202106	202037	202081
2	202106	202081	202104
3	202050	202044	202073
4	202038	202101	202083
5	202015	202016	202107
6	202023	202089	202045
7	202044	202033	202097
8	202051	202028	202031
9	202079	202090	202104
10	202025	202057	202083
11	202050	202020	202097
12	202081	202105	202101
13	202088	202100	202102
14	202040	202057	202073
15	202061	202071	202107
16	202080	202089	202079
17	202030	202066	202093
18	202013	202041	202102
19	202054	202080	202108
20	202086	202094	202088
21	202007	202062	202095
22	202029	202085	202100
23	202012	202109	202083
24	202074	202093	202105
25	202065	202094	202056
26	202101	202043	202046
27	202100	202056	202075
28	202019	202066	202038
29	202028	202091	202073
30	202096	202085	202108
31	202075	202048	202104
32	202072	202104	202052
33	202075	202063	202078
34	202057	202108	202087
35	202098	202106	202047
36	202005	202028	202101
37	202048	202061	202070
38	202109	202057	202092
39	202013	202020	202066
40	202052	202105	202053
41	202037	202031	202106
42	202008	202050	202078
43	202007	202029	202075
44	202086	202101	202054
45	202101	202106	202037
46	202039	202107	202064
47	202089	202087	202105
48	202013	202068	202054
49	202010	202077	202095
50	202042	202091	202043
51	202040	202057	202109
52	202067	202086	202099
53	202084	202029	202085
54	202083	202040	202053
55	202090	202076	202096
56	202065	202094	202099
57	202094	202098	202065
58	202071	202070	202048
59	202049	202089	202095
60	202035	202082	202091
61	202074	202067	202076
62	202059	202094	202099
63	202030	202107	202091
64	202099	202064	202068
65	202050	202058	202099
66	202074	202076	202097
67	202061	202018	202060
68	202061	202070	202053
69	202082	202076	202104
70	202091	202035	202031
71	202058	202064	202076
72	202033	202078	202104
73	202081	202106	202090
74	202095	202087	202092
75	202090	202106	202104
76	202090	202089	202104
77	202018	202021	202060
78	202076	202014	202072
79	202092	202098	202096
80	202057	202036	202053
81	202056	202039	202100
82	202024	202056	202094
83	202022	202046	202054
84	202108	202095	202089
85	202015	202096	202102
86	202049	202062	202079
87	202058	202078	202079
88	202073	202066	202075
89	202082	202077	202095
90	202026	202051	202105
91	202065	202059	202060
92	202077	202087	202109
93	202032	202088	202090
94	202013	202048	202069
95	202037	202060	202082
96	202067	202068	202080
97	202029	202078	202035
98	202047	202038	202046
99	202088	202098	202037
100	202075	202107	202079
101	202014	202042	202036
102	202002	202037	202078
103	202066	202048	202104
104	202087	202057	202094
105	202040	202053	202095
